,id,name,ingredients,instructions,prepTimeMinutes,cookTimeMinutes,servings,difficulty,cuisine,caloriesPerServing,tags,userId,image,rating,reviewCount,mealType
38,39,Moroccan Couscous Salad,"['Couscous, cooked', 'Chickpeas, cooked', 'Cherry tomatoes, halved', 'Cucumber, diced', 'Red onion, finely chopped', 'Fresh mint leaves, chopped', 'Feta cheese, crumbled', 'Lemon vinaigrette dressing']","['In a large bowl, combine cooked couscous, chickpeas, cherry tomatoes, cucumber, red onion, mint leaves, and crumbled feta.', 'Drizzle with lemon vinaigrette dressing and toss to combine.', 'Chill before serving. This Moroccan Couscous Salad makes a refreshing side dish.']",15,10,6,Easy,Moroccan,260,"['Couscous salad', 'Moroccan']",102,https://cdn.dummyjson.com/recipe-images/39.webp,4.1,19,"['Lunch', 'Side Dish']"
39,40,Classic Mojito,"['Fresh mint leaves', 'Lime, cut into wedges', 'Granulated sugar', 'White rum', 'Club soda', 'Ice cubes']","['In a glass, muddle fresh mint leaves with granulated sugar and lime wedges to release the flavors.', 'Add white rum and stir well.', 'Fill the glass with ice cubes and top with club soda.', 'Stir gently and garnish with a sprig of mint.', 'Sip and enjoy the classic and refreshing taste of a Mojito!']",10,0,1,Easy,Cocktail,150,"['Mojito', 'Cuban', 'Cocktail']",191,https://cdn.dummyjson.com/recipe-images/40.webp,4.7,89,['Beverage']
40,41,Caprese Bruschetta,"['Baguette, sliced', 'Tomatoes, diced', 'Fresh mozzarella, sliced', 'Fresh basil leaves', 'Balsamic glaze', 'Olive oil', 'Garlic, minced', 'Salt and pepper to taste']","['Preheat the oven broiler.', 'Place baguette slices on a baking sheet and toast under the broiler until golden.', 'In a bowl, combine diced tomatoes, sliced fresh mozzarella, minced garlic, and chopped fresh basil.', 'Drizzle with olive oil, balsamic glaze, and season with salt and pepper.', 'Spoon the tomato and mozzarella mixture onto the toasted baguette slices.', 'Serve these delightful Caprese Bruschettas as a quick and tasty appetizer.']",15,5,6,Easy,Italian,150,"['Bruschetta', 'Italian']",148,https://cdn.dummyjson.com/recipe-images/41.webp,4.2,38,['Appetizer']
41,42,Teriyaki Chicken Stir-Fry,"['Chicken breast, thinly sliced', 'Broccoli florets', 'Bell peppers, sliced', 'Carrots, julienned', 'Soy sauce', 'Teriyaki sauce', 'Sesame oil', 'Garlic, minced', 'Ginger, grated', 'Cooked rice for serving']","['In a wok or skillet, heat sesame oil and sauté minced garlic and grated ginger until fragrant.', 'Add thinly sliced chicken and cook until browned.', 'Stir in broccoli florets, sliced bell peppers, and julienned carrots. Cook until vegetables are tender-crisp.', 'Pour soy sauce and teriyaki sauce over the stir-fry. Toss to combine.', 'Serve this quick Teriyaki Chicken Stir-Fry over cooked rice for a delicious meal.']",15,10,4,Easy,Japanese,320,"['Teriyaki chicken', 'Japanese', 'Stir-fry']",171,https://cdn.dummyjson.com/recipe-images/42.webp,4.6,95,['Dinner']
42,43,Mango Avocado Salsa,"['Mango, diced', 'Avocado, diced', 'Red onion, finely chopped', 'Cilantro, chopped', 'Lime juice', 'Salt and pepper to taste', 'Tortilla chips for serving']","['In a bowl, combine diced mango, diced avocado, finely chopped red onion, and chopped cilantro.', 'Drizzle with fresh lime juice and season with salt and pepper. Toss gently to combine.', 'Serve this refreshing Mango Avocado Salsa with tortilla chips for a quick and tasty snack.']",10,0,4,Easy,Mexican,90,"['Mango salsa', 'Mexican']",30,https://cdn.dummyjson.com/recipe-images/43.webp,4.1,78,"['Snack', 'Appetizer']"
43,44,Shrimp and Asparagus Stir-Fry,"['Shrimp, peeled and deveined', 'Asparagus spears, trimmed and cut into pieces', 'Soy sauce', 'Sesame oil', 'Garlic, minced', 'Ginger, grated', 'Red pepper flakes', 'Green onions, sliced', 'Cooked noodles or rice for serving']","['In a wok or skillet, heat sesame oil and sauté minced garlic, grated ginger, and red pepper flakes until fragrant.', 'Add shrimp and cook until they turn pink and opaque.', 'Stir in asparagus pieces and cook until crisp-tender.', 'Pour soy sauce over the stir-fry and toss to combine.', 'Serve this quick Shrimp and Asparagus Stir-Fry over cooked noodles or rice.']",15,10,3,Easy,Asian,250,"['Shrimp stir-fry', 'Asian', 'Quick']",195,https://cdn.dummyjson.com/recipe-images/44.webp,4.7,13,['Dinner']
44,45,Italian Margherita Pizza,"['Pizza dough', 'Tomatoes, thinly sliced', 'Fresh mozzarella, sliced', 'Fresh basil leaves', 'Olive oil', 'Garlic, minced', 'Salt and pepper to taste']","['Preheat the oven to the highest temperature your oven can go.', 'Roll out pizza dough on a floured surface and transfer to a pizza stone or baking sheet.', 'Brush the dough with olive oil and sprinkle minced garlic over the surface.', 'Arrange thinly sliced tomatoes and fresh mozzarella slices on the dough.', 'Bake until the crust is golden and the cheese is melted and bubbly.', 'Top with fresh basil leaves and season with salt and pepper. Slice and serve this classic Margherita Pizza.']",20,12,4,Easy,Italian,280,"['Margherita pizza', 'Italian', 'Quick']",160,https://cdn.dummyjson.com/recipe-images/45.webp,4.7,98,['Dinner']
45,46,Pesto Pasta with Cherry Tomatoes,"['Penne pasta', 'Basil pesto sauce', 'Cherry tomatoes, halved', 'Parmesan cheese, grated', 'Salt and black pepper to taste']","['Cook penne pasta according to package instructions. Drain and set aside.', 'In a pan, warm basil pesto sauce. Add cooked pasta and toss to coat evenly.', 'Stir in halved cherry tomatoes and cook until they soften slightly.', 'Season with salt and black pepper to taste. Garnish with grated Parmesan cheese.', 'Serve this quick and flavorful Pesto Pasta with Cherry Tomatoes for a delicious meal.']",15,10,3,Easy,Italian,320,"['Pesto pasta', 'Italian', 'Quick']",79,https://cdn.dummyjson.com/recipe-images/46.webp,4.3,54,['Dinner']
46,47,Hawaiian Chicken Skewers,"['Chicken breasts, cut into chunks', 'Pineapple chunks', 'Bell peppers, sliced', 'Red onion, cut into wedges', 'Soy sauce', 'Pineapple juice', 'Ketchup', 'Brown sugar', 'Garlic, minced', 'Wooden skewers, soaked in water']","['Preheat the grill or grill pan.', 'In a bowl, whisk together soy sauce, pineapple juice, ketchup, brown sugar, and minced garlic to make the marinade.', 'Thread chicken chunks, pineapple chunks, bell pepper slices, and red onion wedges onto soaked wooden skewers.', 'Brush the skewers with the marinade and grill until the chicken is cooked through.', 'Serve these Hawaiian Chicken Skewers with rice or as a tasty appetizer.']",20,15,4,Easy,Hawaiian,280,"['Chicken skewers', 'Hawaiian', 'Quick']",177,https://cdn.dummyjson.com/recipe-images/47.webp,4.7,77,['Dinner']
47,48,Cucumber Avocado Rolls,"['Sushi rice, seasoned', 'Nori sheets', 'Cucumber, julienned', 'Avocado, sliced', 'Soy sauce for dipping', 'Pickled ginger and wasabi for serving']","['Place a sheet of nori on a bamboo sushi rolling mat.', 'Spread seasoned sushi rice evenly over the nori, leaving a small border at the top.', 'Arrange julienned cucumber and sliced avocado along the bottom edge of the rice.', 'Roll the nori tightly from the bottom, using the bamboo mat to shape the roll.', 'Slice the roll into bite-sized pieces. Serve these refreshing Cucumber Avocado Rolls with soy sauce, pickled ginger, and wasabi.']",20,0,3,Easy,Japanese,180,"['Sushi rolls', 'Japanese', 'Quick']",190,https://cdn.dummyjson.com/recipe-images/48.webp,4.3,94,"['Appetizer', 'Lunch']"
48,49,Mediterranean Chickpea Salad,"['Canned chickpeas, drained and rinsed', 'Cherry tomatoes, halved', 'Cucumber, diced', 'Red onion, finely chopped', 'Kalamata olives, sliced', 'Feta cheese, crumbled', 'Olive oil', 'Lemon juice', 'Dried oregano', 'Salt and pepper to taste']","['In a large bowl, combine chickpeas, cherry tomatoes, cucumber, red onion, olives, and feta cheese.', 'In a small bowl, whisk together olive oil, lemon juice, dried oregano, salt, and pepper to make the dressing.', 'Pour the dressing over the salad and toss gently to combine.', 'Chill before serving. Enjoy this quick and refreshing Mediterranean Chickpea Salad.']",15,0,4,Easy,Mediterranean,220,"['Chickpea salad', 'Mediterranean', 'Quick']",183,https://cdn.dummyjson.com/recipe-images/49.webp,4.7,70,"['Lunch', 'Side Dish']"
49,50,Pineapple Coconut Smoothie,"['Pineapple chunks, fresh or frozen', 'Coconut milk', 'Greek yogurt', 'Banana, peeled and sliced', 'Honey', 'Ice cubes']","['In a blender, combine pineapple chunks, coconut milk, Greek yogurt, banana, and honey.', 'Blend until smooth and creamy.', 'Add ice cubes and blend again until the smoothie is chilled.', 'Pour into a glass and enjoy the tropical goodness of this Pineapple Coconut Smoothie!']",10,0,2,Easy,Smoothie,200,"['Smoothie', 'Pineapple', 'Coconut']",172,https://cdn.dummyjson.com/recipe-images/50.webp,4.4,45,"['Breakfast', 'Beverage']"
